序号	提交答卷时间	所用时间	来源	来源详情	来自IP	1、您的性别	2、?您认为大学生的心理健康是否应该引起重视，请选择一个符合的选项	3、?您对心理健康知识了解多少，请选择一个符合的选项	4、您了解心理健康的途径是什么，请勾选所有符合的选项（多选题）	5、你总有明确的生活目标并在为之不懈奋斗吗？	6、如果在学习过程中出现学习效率低下、压力过大的状况，你会觉得心烦气躁吗？	7、?在考试考证前，您是否对自己信心不足，情绪烦躁，看过书本但记住很少请选择一个符合的选项	8、你认为压力在你的学习生活中有什么作用？	9、?您生活的压力主要来自，请勾选所有符合的选项（多选题）	10、?你觉得自己的心理承受能力强吗，请选择一个符合的选项	11、?您和周围认识的人是否闹过矛盾，请选择一个符合的选项	12、您是否经常跟家人朋友交流感情，聊天谈笑请选择一个符合的选项	13、?您是否曾因同学间的攀比而产生困扰，请选择一个符合的选项	14、?当情绪低落时，您如何调节，请勾选所有符合的选项（多选题）	15、你如何看待在校大学生自杀事件，请勾选所有符合的选项（多选题）	16、?你的大学恋爱观是怎样？请选择一个符合的选项	17、大学毕业之后你对未来的选择是？	18、?面对如此严峻的就业形势你会有所担忧，请选择一个符合的选项	19、?请问您觉得学校可以如何去进行心理健康教育，请勾选所有符合的选项（多选题）	20、?如果有一场心理讲座，你希望主题是什么请选择一个符合的选项	21、 目前，你急需解决的心理问题是什么？你希望以什么方式获得帮助
3	2021/5/25 11:54:23	91秒	微信	N/A	101.27.81.129(河北-保定)	女	必须重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座	有	有时会	是	正面影响，会为学习带来动力	学习压力┋人际关系	一般	偶尔	从来没有	较少	倒头大睡，不去想任何事情┋一个人生闷气	压力过大，能够理解	人生大事，应该用心经营，从一而终	考研	会有所担忧	其他：〖无〗	如何和他人交往	无
4	2021/5/25 11:54:55	76秒	微信	N/A	221.192.178.97(河北-沧州)	女	必须重视	了解一点	浏览网页┋跟朋友聊天时了解到┋看相关电影	没有	经常会	是	正面影响，会为学习带来动力	学习压力┋人际关系┋考试考证	一般	很少	经常	没有	通过暴饮暴食发泄不满情绪┋找人倾述	压力过大，能够理解	人生大事，应该用心经营，从一而终	考研	会有所担忧	多举行心理讲座┋网络心理咨询┋组织团体活动	如何处理学习和工作	网络
5	2021/5/25 11:55:05	100秒	微信	N/A	101.19.5.34(河北-保定)	女	必须重视	了解很多	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋看相关电影	有	经常会	是	较为负面影响，会影响情绪	学习压力┋感情压力┋人际关系┋考试考证┋就业压力	很弱	偶尔	经常	有时	通过暴饮暴食发泄不满情绪┋一个人生闷气┋找人倾述┋无法排解低落情绪	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自身心理问题┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	就业	会有所担忧	设立心理咨询室┋网络心理咨询┋组织团体活动	情绪调节	不知道
6	2021/5/25 11:55:18	82秒	微信	N/A	223.104.103.126(河北-保定)	女	必须重视	了解很少	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座┋看相关电影	没有	有时会	是	较为负面影响，会影响情绪	学习压力┋人际关系┋家庭问题	一般	很少	偶尔	有时	参加户外活动转移注意力┋倒头大睡，不去想任何事情┋找人倾述	对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自身心理问题	一种美好的经历，帮助我成长	考研	会有所担忧	多举行心理讲座┋设立心理咨询室┋组织团体活动	如何处理学习和工作	无
7	2021/5/25 11:55:55	187秒	微信	N/A	36.98.173.219(河北-未知)	女	必须重视	了解一点	浏览网页┋阅读书刊┋其他	有	比较少	是	正面影响，会为学习带来动力	学习压力┋就业压力┋其他	一般	偶尔	经常	没有	倒头大睡，不去想任何事情┋一个人生闷气┋找人倾述	压力过大，能够理解┋以此为鉴，努力疏导自身心理问题┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	考研	会有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询	情绪调节	暂时没有
8	2021/5/25 11:56:31	196秒	微信	N/A	221.192.181.32(河北-石家庄)	女	应该重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座┋看相关电影┋其他	不知道	比较少	否	没感觉	学习压力┋其他	一般	没有	偶尔	没有	倒头大睡，不去想任何事情┋找人倾述	对引发事件发生的社会原因和学校的责任非常慷慨┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	会有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	如何和他人交往	无
9	2021/5/25 12:35:04	78秒	微信	N/A	183.198.135.209(河北-廊坊)	女	应该重视	了解一点	阅读书刊┋跟朋友聊天时了解到	有	比较少	否	正面影响，会为学习带来动力	学习压力	很强	偶尔	偶尔	经常	通过暴饮暴食发泄不满情绪┋倒头大睡，不去想任何事情	对引发事件发生的社会原因和学校的责任非常慷慨┋非常鄙视自杀之人，枉费父母和社会的栽培	一种美好的经历，帮助我成长	考公务员	会有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	学习方法	无
10	2021/5/25 13:17:10	180秒	微信	N/A	106.117.4.229(河北-石家庄)	女	必须重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座┋看相关电影┋其他	不知道	有时会	否	没感觉	感情压力┋人际关系┋家庭问题┋经济问题┋就业压力	一般	偶尔	经常	没有	参加户外活动转移注意力┋通过暴饮暴食发泄不满情绪┋倒头大睡，不去想任何事情┋一个人生闷气	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自身心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	还没想过	会有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	如何和他人交往	一直想要中十个亿，帮我实现这个理想
11	2021/5/25 17:07:48	80秒	微信	N/A	223.104.103.253(河北-邯郸)	女	必须重视	了解一点	浏览网页┋跟朋友聊天时了解到┋听讲座	有	有时会	是	较为负面影响，会影响情绪	学习压力┋人际关系┋考试考证	很弱	偶尔	偶尔	有时	参加户外活动转移注意力┋倒头大睡，不去想任何事情┋无法排解低落情绪	对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自身心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	会有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询	情绪调节	学习压力。成绩提升
1	2021/5/25 18:51:20	92秒	微信	N/A	106.9.87.163(河北-保定)	女	必须重视	了解很多	阅读书刊┋看相关电影	没有	经常会	是	正面影响，会为学习带来动力	学习压力┋感情压力┋人际关系┋家庭问题┋经济问题┋考试考证┋就业压力	一般	偶尔	偶尔	没有	参加户外活动转移注意力┋找人倾述	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	考研	会有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	如何处理学习和工作	缓解情绪，希望能医保报销
2	2021/5/25 18:52:15	111秒	微信	N/A	223.104.103.26(河北-保定)	女	必须重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋看相关电影	不知道	有时会	是	正面影响，会为学习带来动力	学习压力┋人际关系┋经济问题	一般	很少	经常	有时	参加户外活动转移注意力┋一个人生闷气	压力过大，能够理解┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	只在乎曾经拥有，不在乎天长地久	考研	会有所担忧	设立心理咨询室┋网络心理咨询	如何和他人交往	(空)
3	2021/5/25 18:52:41	150秒	微信	N/A	27.128.2.83(河北-石家庄)	男	必须重视	了解很少	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座┋看相关电影	不知道	经常会	是	较为负面影响，会影响情绪	学习压力┋感情压力┋人际关系┋经济问题┋考试考证┋就业压力	一般	很少	经常	有时	参加户外活动转移注意力┋一个人生闷气┋找人倾述	压力过大，能够理解┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	还没想过	会有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	如何和他人交往	孤独，任何方式
4	2021/5/25 18:53:41	106秒	微信	N/A	223.104.103.10(河北-保定)	女	必须重视	了解一点	浏览网页┋看相关电影	不知道	有时会	是	较为负面影响，会影响情绪	学习压力┋感情压力┋人际关系┋考试考证┋就业压力	一般	偶尔	很少	有时	倒头大睡，不去想任何事情┋一个人生闷气┋找人倾述	压力过大，能够理解┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	会有所担忧	设立心理咨询室┋组织团体活动	如何和他人交往	(空)
5	2021/5/25 18:59:02	115秒	微信	N/A	221.192.179.103(河北-石家庄)	女	必须重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座┋看相关电影	不知道	经常会	否	没感觉	学习压力┋感情压力┋考试考证	一般	偶尔	偶尔	较少	参加户外活动转移注意力	以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	充满信心	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	情绪调节	感情问题 心理咨询
6	2021/5/25 19:02:44	306秒	微信	N/A	36.143.30.77(河北-唐山)	女	必须重视	了解一点	浏览网页	不知道	有时会	否	正面影响，会为学习带来动力	其他	很强	很少	经常	较少	其他：	非常鄙视自杀之人，枉费父母和社会的栽培┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	充满信心	组织团体活动	如何处理学习和工作	(空)
7	2021/5/25 19:04:20	62秒	微信	N/A	221.192.179.103(河北-石家庄)	女	应该重视	了解很多	阅读书刊	不知道	经常会	否	正面影响，会为学习带来动力	学习压力	很强	很少	经常	较少	一个人生闷气	以此为鉴，努力疏导自声心理问题	一种美好的经历，帮助我成长	就业	充满信心	多举行心理讲座	情绪调节	和父母交流有问题 网络咨询
8	2021/5/25 19:06:46	57秒	微信	N/A	221.192.179.103(河北-石家庄)	男	必须重视	了解很多	浏览网页	不知道	有时会	否	正面影响，会为学习带来动力	人际关系	一般	经常	经常	较少	参加户外活动转移注意力	以此为鉴，努力疏导自声心理问题	人生大事，应该用心经营，从一而终	就业	无所谓，父母早已为自己铺好路	多举行心理讲座	情绪调节	肥胖导致我嗯受到歧视，我希望可以通过自己的努力获得别人的认可
9	2021/5/25 19:07:24	82秒	微信	N/A	183.198.230.167(河北-石家庄)	男	必须重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋其他〖班会〗	不知道	有时会	是	正面影响，会为学习带来动力	学习压力┋感情压力┋人际关系┋考试考证┋就业压力	很强	没有	经常	没有	参加户外活动转移注意力┋倒头大睡，不去想任何事情┋一个人生闷气┋找人倾述┋无法排解低落情绪	压力过大，能够理解┋非常鄙视自杀之人，枉费父母和社会的栽培	人生大事，应该用心经营，从一而终	考研	会有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	情绪调节	(空)
10	2021/5/25 19:08:13	60秒	微信	N/A	221.192.179.103(河北-石家庄)	男	应该重视	了解很多	看相关电影	没有	有时会	否	没感觉	人际关系	一般	偶尔	偶尔	有时	通过暴饮暴食发泄不满情绪	对引发事件发生的社会原因和学校的责任非常慷慨	只在乎曾经拥有，不在乎天长地久	考研	会有所担忧	多举行心理讲座	如何和他人交往	和舍友搞好关系，希望获得其他人的帮助
1	2021/5/26 7:57:51	193秒	手机提交	直接访问	111.4.146.105(湖北-武汉)	女	必须重视	了解一点	跟朋友聊天时了解到┋听讲座	没有	比较少	否	正面影响，会为学习带来动力	感情压力┋人际关系	很强	偶尔	经常	没有	找人倾述	压力过大，能够理解┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考公务员	有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	如何和他人交往	(空)
2	2021/5/26 7:58:29	127秒	手机提交	直接访问	27.128.28.17(河北-石家庄)	女	必须重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座┋看相关电影	不知道	有时会	否	没感觉	学习压力┋考试考证	一般	很少	经常	较少	参加户外活动转移注意力┋倒头大睡，不去想任何事情┋找人倾述	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	情绪调节	(空)
3	2021/5/26 7:58:42	148秒	微信	N/A	221.192.180.153(河北-秦皇岛)	女	必须重视	了解一点	浏览网页┋听讲座┋看相关电影	有	有时会	是	较为负面影响，会影响情绪	学习压力┋感情压力┋人际关系┋经济问题┋考试考证┋就业压力	一般	很少	经常	较少	参加户外活动转移注意力┋倒头大睡，不去想任何事情┋一个人生闷气┋找人倾述	以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考公务员	有所担忧	多举行心理讲座┋网络心理咨询┋组织团体活动	如何处理学习和工作	无
